500,2.594
600,3.126
700,3.435
800,14.925
900,15.147
1000,15.066
1100,15.449
1200,15.480
1300,16.014
1400,16.424
1500,17.035
1600,17.312
1700,17.786
1800,18.054
1900,18.492
2000,18.703
2100,19.288
2200,20.006
2300,20.529
2400,21.144
2500,21.083
2600,21.878
2700,22.176
2800,22.694
2900,23.365
3000,23.796
3100,24.357
3200,24.819
3300,25.664
3400,26.316
3500,27.597
3600,28.585
3700,29.847
3800,30.975
3900,32.401
4000,33.554
4100,34.747
4200,36.119
4300,37.966
4400,39.581
4500,41.064
4600,42.137
4700,43.727
4800,44.859
4900,46.522
5000,47.731
5100,50.024
5200,52.578
5300,53.533
5400,55.070
5500,56.990
5600,58.322
5700,60.334
5800,63.246
5900,64.688
6000,65.826
6100,67.732
6200,69.384
6300,71.976
